name,version,direct,dependencyType,scope,source,licenseMetadata,licenseFileDetected,licenseFromFileGuess,metadataFileMatch,inProductionBundle,devToolOnly,obligations,risk,recommendedAction,repository,homepage,whereFound
"@tiptap/extension-ordered-list","2.27.2","transitive","transitive dependency","prod","npm","MIT","","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/ueberdosis/tiptap","https://tiptap.dev","prod"
"@tiptap/extension-paragraph","2.27.2","transitive","transitive dependency","prod","npm","MIT","","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/ueberdosis/tiptap","https://tiptap.dev","prod"
"@tiptap/extension-strike","2.27.2","transitive","transitive dependency","prod","npm","MIT","","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/ueberdosis/tiptap","https://tiptap.dev","prod"
"@tiptap/extension-text","2.27.2","transitive","transitive dependency","prod","npm","MIT","","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/ueberdosis/tiptap","https://tiptap.dev","prod"
"@tiptap/extension-text-style","2.27.2","transitive","transitive dependency","prod","npm","MIT","","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/ueberdosis/tiptap","https://tiptap.dev","prod"
"dexie-react-hooks","1.1.7","direct","dependency","prod","npm","Apache-2.0","LICENSE","Apache License","mismatch-possible","yes","no","zachowanie copyright; NOTICE (je?li istnieje); patent notice","GREEN","zachowaj notice/licencje","git+https://github.com/dexie/Dexie.js.git","https://dexie.org","prod"
"@tiptap/react","2.27.2","direct","dependency","prod","npm","MIT","","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/ueberdosis/tiptap","https://tiptap.dev","prod"
"@types/use-sync-external-store","0.0.6","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/DefinitelyTyped/DefinitelyTyped.git","https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/use-sync-external-store","prod"
"fast-deep-equal","3.1.3","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/epoberezkin/fast-deep-equal.git","https://github.com/epoberezkin/fast-deep-equal#readme","prod"
"@tiptap/extension-floating-menu","2.27.2","transitive","transitive dependency","prod","npm","MIT","","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/ueberdosis/tiptap","https://tiptap.dev","prod"
